,Company,Rating,No_of_ratings,Review,Size,Processor,RAM,Memory,OpSys,Price,MRP,ImgURL
892,ASUS,4.0,2100,311,40.0,Intel Celeron Dual Core Processor,4,29.46 cm (11.6 inch) Touchscreen Display,Chrome ,20990,29990,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/computer/q/t/6/-original-imagdv4ykwrjxbmh.jpeg?q=70
893,acer,4.2,6,3,36.0,Intel Core i5 Processor (8th Gen),8,512 GB SSD,64 bit Windows 10 ,64990,87999,https://rukminim1.flixcart.com/image/312/312/jzrb53k0pkrrdj/computer/t/z/e/acer-na-thin-and-light-laptop-original-imafhnvk5ussrgta.jpeg?q=70
894,HP,4.5,42,2,36.0,Intel Core i5 Processor (11th Gen),16,512 GB SSD,64 bit Windows 11 ,73046,79445,https://rukminim1.flixcart.com/image/312/312/kpft18w0/computer/c/a/q/na-thin-and-light-laptop-hp-original-imag3zdbyrwnp9sr.jpeg?q=70
895,Lenovo,4.3,2841,241,40.0,Intel Core i5 Processor (11th Gen),8,512 GB SSD,Windows 11 ,55990,83890,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/d/c/gaming-3-gaming-laptop-lenovo-original-imaghtkrg8rw6jtp.jpeg?q=70
896,ASUS,5.0,4,0,34.0,AMD Ryzen 9 Octa Core Processor,32,1 TB SSD,64 bit Windows 10 ,239990,350990,https://rukminim1.flixcart.com/image/312/312/kqse07k0/computer/p/j/u/na-2-in-1-gaming-laptop-asus-original-imag4q45hxhp6wxp.jpeg?q=70
897,Lenovo,4.2,66,8,36.0,Intel Core i3 Processor (10th Gen),4,256 GB SSD,64 bit Windows 11 ,35990,53790,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/computer/h/x/8/14iil05-thin-and-light-laptop-lenovo-original-imag7anttggbgmzm.jpeg?q=70
898,acer,4.4,2954,366,40.0,Intel Core i5 Processor (9th Gen),8,512 GB SSD,64 bit Windows 10 ,53990,84999,https://rukminim1.flixcart.com/image/312/312/kcc9q4w0/computer/h/t/g/acer-na-gaming-laptop-original-imafthr8aa4rsjpn.jpeg?q=70
899,Lenovo,4.2,974,75,36.0,Intel Core i3 Processor (11th Gen),8,256 GB SSD,64 bit Windows 11 ,33990,60890,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
900,ASUS,4.5,50,6,40.0,AMD Ryzen 9 Octa Core Processor,16,1 TB SSD,64 bit Windows 10 ,117990,162990,https://rukminim1.flixcart.com/image/312/312/l3vxbbk0/computer/g/u/y/-original-imagewgtfgzf8fdd.jpeg?q=70
901,Infinix,4.4,11,3,40.0,Intel Core i5 Processor (11th Gen),16,512 GB SSD,64 bit Windows 11 ,44990,59990,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/e/n/-original-imagjfgfjnwnq89g.jpeg?q=70
902,acer,4.2,510,93,40.0,Intel Pentium Quad Core Processor,4,256 GB SSD,64 bit Windows 10 ,23800,34990,https://rukminim1.flixcart.com/image/312/312/kq8dua80/computer/a/o/w/na-laptop-acer-original-imag4agqmqjxaycb.jpeg?q=70
